Cruise Control/Vehicle Speed 1,1.1,Two Speed Axle Switch,2 bits
Cruise Control/Vehicle Speed 1,1.3,Parking Brake Switch,2 bits
Cruise Control/Vehicle Speed 1,1.5,Cruise Control Pause Switch,2 bits
Cruise Control/Vehicle Speed 1,1.7,Park Brake Release Inhibit Request,2 bits
Cruise Control/Vehicle Speed 1,2-3,Wheel-Based Vehicle Speed,2 bytes
Cruise Control/Vehicle Speed 1,4.1,Cruise Control Active,2 bits
Cruise Control/Vehicle Speed 1,4.3,Cruise Control Enable Switch,2 bits
Cruise Control/Vehicle Speed 1,4.5,Brake Switch,2 bits
Cruise Control/Vehicle Speed 1,4.7,Clutch Switch,2 bits
Cruise Control/Vehicle Speed 1,5.1,Cruise Control Set Switch,2 bits
Cruise Control/Vehicle Speed 1,5.3,Cruise Control Coast (Decelerate) Switch,2 bits
Cruise Control/Vehicle Speed 1,5.5,Cruise Control Resume Switch,2 bits
Cruise Control/Vehicle Speed 1,5.7,Cruise Control Accelerate Switch,2 bits
Cruise Control/Vehicle Speed 1,6,Cruise Control Set Speed,1 byte
Cruise Control/Vehicle Speed 1,7.1,PTO Governor State,5 bits
Cruise Control/Vehicle Speed 1,7.6,Cruise Control States,3 bits
Cruise Control/Vehicle Speed 1,8.1,Engine Idle Increment Switch,2 bits
Cruise Control/Vehicle Speed 1,8.3,Engine Idle Decrement Switch,2 bits
Cruise Control/Vehicle Speed 1,8.5,Engine Diagnostic Test Mode Switch,2 bits
Cruise Control/Vehicle Speed 1,8.7,Engine Shutdown Override Switch,2 bits
